"","la_code","Area","Region","degree_pct","prices","pop_density","Pct_Remain","Pct_Leave","london"
"1","E06000001","Hartlepool","North East",0.248,120000,984,30.43,69.57,"Not London"
"2","E06000002","Middlesbrough","North East",0.264,131000,2610,34.52,65.48,"Not London"
"3","E06000003","Redcar and Cleveland","North East",0.249,130000,552,33.81,66.19,"Not London"
"4","E06000004","Stockton-on-Tees","North East",0.295,135000,958,38.27,61.73,"Not London"
"5","E06000005","Darlington","North East",0.29,133250,538,43.82,56.18,"Not London"
"6","E06000006","Halton","North West",0.239,134950,1604,42.58,57.42,"Not London"
"7","E06000007","Warrington","North West",0.33,167000,1167,45.73,54.27,"Not London"
"8","E06000008","Blackburn with Darwen","North West",0.268,104000,1106,43.66,56.34,"Not London"
"9","E06000009","Blackpool","North West",0.225,105000,4072,32.54,67.46,"Not London"
"10","E06000010","Kingston upon Hull, City of","Yorkshire and The Humber",0.217,105000,3707,32.38,67.62,"Not London"
"11","E06000011","East Riding of Yorkshire","Yorkshire and The Humber",0.305,160000,140,39.6,60.4,"Not London"
"12","E06000012","North East Lincolnshire","Yorkshire and The Humber",0.216,123000,825,30.13,69.87,"Not London"
"13","E06000013","North Lincolnshire","Yorkshire and The Humber",0.239,127500,201,33.7,66.3,"Not London"
"14","E06000014","York","Yorkshire and The Humber",0.388,216750,746,58.04,41.96,"Not London"
"15","E06000015","Derby","East Midlands",0.297,143000,3331,42.78,57.22,"Not London"
"16","E06000016","Leicester","East Midlands",0.268,141000,4865,51.08,48.92,"Not London"
"17","E06000017","Rutland","East Midlands",0.379,241995,102,49.43,50.57,"Not London"
"18","E06000018","Nottingham","East Midlands",0.286,120000,4257,49.16,50.84,"Not London"
"19","E06000019","Herefordshire, County of","West Midlands",0.327,202790,85,40.78,59.22,"Not London"
"20","E06000020","Telford and Wrekin","West Midlands",0.261,158995,604,36.78,63.22,"Not London"
"21","E06000021","Stoke-on-Trent","West Midlands",0.218,105000,2741,30.64,69.36,"Not London"
"22","E06000022","Bath and North East Somerset","South West",0.398,292000,536,57.85,42.15,"Not London"
"23","E06000023","Bristol, City of","South West",0.421,237000,4191,61.73,38.27,"Not London"
"24","E06000024","North Somerset","South West",0.339,226000,569,47.83,52.17,"Not London"
"25","E06000025","South Gloucestershire","South West",0.33,240000,555,47.32,52.68,"Not London"
"26","E06000026","Plymouth","South West",0.275,165000,3312,40.06,59.94,"Not London"
"27","E06000027","Torbay","South West",0.253,180000,2165,36.84,63.16,"Not London"
"28","E06000030","Swindon","South West",0.279,195000,976,45.34,54.66,"Not London"
"29","E06000031","Peterborough","East",0.262,160000,597,39.11,60.89,"Not London"
"30","E06000032","Luton","East",0.298,217000,5097,43.45,56.55,"Not London"
"31","E06000033","Southend-on-Sea","East",0.272,235000,4330,41.92,58.08,"Not London"
"32","E06000034","Thurrock","East",0.262,250000,1031,27.72,72.28,"Not London"
"33","E06000035","Medway","South East",0.256,212500,1433,35.92,64.08,"Not London"
"34","E06000036","Bracknell Forest","South East",0.356,320000,1093,46.06,53.94,"Not London"
"35","E06000037","West Berkshire","South East",0.37,325000,228,51.78,48.22,"Not London"
"36","E06000038","Reading","South East",0.404,279475,4251,58.03,41.97,"Not London"
"37","E06000039","Slough","South East",0.348,280000,4688,45.67,54.33,"Not London"
"38","E06000040","Windsor and Maidenhead","South East",0.45,450000,774,53.9,46.1,"Not London"
"39","E06000041","Wokingham","South East",0.462,409995,915,56.69,43.31,"Not London"
"40","E06000042","Milton Keynes","South East",0.358,247500,889,48.59,51.41,"Not London"
"41","E06000043","Brighton and Hove","South East",0.445,320000,3378,68.62,31.38,"Not London"
"42","E06000044","Portsmouth","South East",0.3,185000,5199,41.92,58.08,"Not London"
"43","E06000045","Southampton","South East",0.316,190000,4985,46.2,53.8,"Not London"
"44","E06000046","Isle of Wight","South East",0.274,190000,368,38.05,61.95,"Not London"
"45","E06000047","County Durham","North East",0.267,111000,231,42.45,57.55,"Not London"
"46","E06000049","Cheshire East","North West",0.376,201995,327,48.82,51.18,"Not London"
"47","E06000050","Cheshire West and Chester","North West",0.357,185000,372,49.32,50.68,"Not London"
"48","E06000051","Shropshire","West Midlands",0.325,194000,98,43.13,56.87,"Not London"
"49","E06000052","Cornwall","South West",0.306,210000,155,43.48,56.52,"Not London"
"50","E06000053","Isles of Scilly","South West",0.379,287500,137,56.39,43.61,"Not London"
"51","E06000054","Wiltshire","South West",0.342,243000,151,47.51,52.49,"Not London"
"52","E06000055","Bedford","East",0.347,238000,365,48.22,51.78,"Not London"
"53","E06000056","Central Bedfordshire","East",0.332,265000,384,43.87,56.13,"Not London"
"54","E06000057","Northumberland","North East",0.307,157500,63,45.89,54.11,"Not London"
"55","E06000058",NA,NA,0.321,248750,2450,NA,NA,"Not London"
"56","E06000059",NA,NA,0.315,265000,150,NA,NA,"Not London"
"57","E06000060",NA,NA,0.41,350000,342,NA,NA,"Not London"
"58","E06000061",NA,NA,0.267,174000,346,NA,NA,"Not London"
"59","E06000062",NA,NA,0.318,215000,294,NA,NA,"Not London"
"60","E07000008","Cambridge","East",0.558,415000,3343,73.85,26.15,"Not London"
"61","E07000009","East Cambridgeshire","East",0.35,250000,134,49.08,50.92,"Not London"
"62","E07000010","Fenland","East",0.19,160000,185,28.61,71.39,"Not London"
"63","E07000011","Huntingdonshire","East",0.334,225000,195,45.76,54.24,"Not London"
"64","E07000012","South Cambridgeshire","East",0.478,335995,174,60.23,39.77,"Not London"
"65","E07000026","Allerdale","North West",0.284,143000,78,41.35,58.65,"Not London"
"66","E07000027","Barrow-in-Furness","North West",0.248,115000,871,39.38,60.62,"Not London"
"67","E07000028","Carlisle","North West",0.279,134000,105,39.86,60.14,"Not London"
"68","E07000029","Copeland","North West",0.26,125000,94,38,62,"Not London"
"69","E07000030","Eden","North West",0.326,185000,25,46.68,53.32,"Not London"
"70","E07000031","South Lakeland","North West",0.386,217500,68,52.86,47.14,"Not London"
"71","E07000032","Amber Valley","East Midlands",0.288,155000,465,39.72,60.28,"Not London"
"72","E07000033","Bolsover","East Midlands",0.217,120000,486,29.17,70.83,"Not London"
"73","E07000034","Chesterfield","East Midlands",0.268,135000,1580,39.96,60.04,"Not London"
"74","E07000035","Derbyshire Dales","East Midlands",0.392,234500,89,48.44,51.56,"Not London"
"75","E07000036","Erewash","East Midlands",0.259,137000,1042,38.77,61.23,"Not London"
"76","E07000037","High Peak","East Midlands",0.356,169000,168,49.45,50.55,"Not London"
"77","E07000038","North East Derbyshire","East Midlands",0.276,165000,362,37.22,62.78,"Not London"
"78","E07000039","South Derbyshire","East Midlands",0.318,175000,292,39.65,60.35,"Not London"
"79","E07000040","East Devon","South West",0.338,240000,173,45.89,54.11,"Not London"
"80","E07000041","Exeter","South West",0.347,225000,2623,55.28,44.72,"Not London"
"81","E07000042","Mid Devon","South West",0.307,210000,87,46.66,53.34,"Not London"
"82","E07000043","North Devon","South West",0.285,219000,87,42.96,57.04,"Not London"
"83","E07000044","South Hams","South West",0.399,275000,95,52.85,47.15,"Not London"
"84","E07000045","Teignbridge","South West",0.328,226000,192,46.1,53.9,"Not London"
"85","E07000046","Torridge","South West",0.262,199950,68,39.17,60.83,"Not London"
"86","E07000047","West Devon","South West",0.341,218250,47,46.8,53.2,"Not London"
"87","E07000061","Eastbourne","South East",0.298,218000,2324,42.67,57.33,"Not London"
"88","E07000062","Hastings","South East",0.286,189950,3099,45.12,54.88,"Not London"
"89","E07000063","Lewes","South East",0.348,291500,343,52.07,47.93,"Not London"
"90","E07000064","Rother","South East",0.299,267247.5,181,41.47,58.53,"Not London"
"91","E07000065","Wealden","South East",0.326,285000,187,45.5,54.5,"Not London"
"92","E07000066","Basildon","East",0.246,259995,1679,31.38,68.62,"Not London"
"93","E07000067","Braintree","East",0.258,250000,248,38.87,61.13,"Not London"
"94","E07000068","Brentwood","East",0.354,390000,504,40.85,59.15,"Not London"
"95","E07000069","Castle Point","East",0.185,265000,2001,27.3,72.7,"Not London"
"96","E07000070","Chelmsford","East",0.339,3e+05,517,47.17,52.83,"Not London"
"97","E07000071","Colchester","East",0.322,230000,565,46.4,53.6,"Not London"
"98","E07000072","Epping Forest","East",0.324,407000,388,37.31,62.69,"Not London"
"99","E07000073","Harlow","East",0.244,255000,2912,31.9,68.1,"Not London"
"100","E07000074","Maldon","East",0.254,279995,177,37.42,62.58,"Not London"
"101","E07000075","Rochford","East",0.228,292500,506,33.39,66.61,"Not London"
"102","E07000076","Tendring","East",0.199,185000,425,30.5,69.5,"Not London"
"103","E07000077","Uttlesford","East",0.366,357000,133,49.32,50.68,"Not London"
"104","E07000078","Cheltenham","South West",0.431,234000,2553,56.17,43.83,"Not London"
"105","E07000079","Cotswold","South West",0.398,330000,74,51.1,48.9,"Not London"
"106","E07000080","Forest of Dean","South West",0.288,190000,162,41.42,58.58,"Not London"
"107","E07000081","Gloucester","South West",0.274,175000,3199,41.5,58.5,"Not London"
"108","E07000082","Stroud","South West",0.387,230000,255,54.61,45.39,"Not London"
"109","E07000083","Tewkesbury","South West",0.359,234995,210,46.75,53.25,"Not London"
"110","E07000084","Basingstoke and Deane","South East",0.352,275000,281,48.1,51.9,"Not London"
"111","E07000085","East Hampshire","South East",0.387,340000,231,50.52,49.48,"Not London"
"112","E07000086","Eastleigh","South East",0.331,257500,1616,47.55,52.45,"Not London"
"113","E07000087","Fareham","South East",0.334,255000,1550,44.9,55.1,"Not London"
